City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yulara,AU,2022-06-06 17:15:53,-25.2406,130.9889,49.66,54,52,10.89
68,New Norfolk,AU,2022-06-06 17:15:53,-42.7826,147.0587,40.91,82,34,3.0
69,Meulaboh,ID,2022-06-06 17:15:54,4.1363,96.1285,75.99,91,100,8.48
70,Krutikha,RU,2022-06-06 17:15:54,53.9599,81.2093,47.01,59,66,4.99
71,Souillac,MU,2022-06-06 17:15:55,-20.5167,57.5167,71.98,83,40,2.3
72,Saskylakh,RU,2022-06-06 17:15:55,71.9167,114.0833,35.65,78,54,4.41
73,Luderitz,NA,2022-06-06 17:15:55,-26.6481,15.1594,67.28,39,2,5.75
74,Lebu,CL,2022-06-06 17:12:29,-37.6167,-73.65,53.74,83,100,14.56
75,Larsnes,NO,2022-06-06 17:15:56,62.2028,5.5773,64.81,68,22,8.81
76,Ambilobe,MG,2022-06-06 17:15:56,-13.2,49.05,72.03,71,60,4.43
77,Albany,US,2022-06-06 17:15:40,42.6001,-73.9662,78.64,40,71,3.78
78,Sakakah,SA,2022-06-06 17:15:57,29.9697,40.2064,101.77,10,60,11.12
79,Linqing,CN,2022-06-06 17:15:57,36.8456,115.7117,68.94,43,0,8.05
80,Gat,IL,2022-06-06 17:15:57,31.61,34.7642,79.39,100,42,7.7
81,Saint-Pierre,RE,2022-06-06 17:15:57,-21.3393,55.4781,73.08,60,75,8.05
82,Khani,GE,2022-06-06 17:15:58,41.9563,42.9566,62.17,99,83,3.44
83,Chuy,UY,2022-06-06 17:15:58,-33.6971,-53.4616,59.61,73,100,7.61
84,Vuktyl,RU,2022-06-06 17:15:58,63.8567,57.3094,59.23,44,44,7.65
85,Cabo San Lucas,MX,2022-06-06 17:13:48,22.8909,-109.9124,90.7,61,0,8.05
86,Thompson,CA,2022-06-06 17:12:45,55.7435,-97.8558,60.44,22,46,7.25
87,Nelson Bay,AU,2022-06-06 17:15:59,-32.7167,152.15,50.09,76,0,1.99
88,Willemstad,CW,2022-06-06 17:14:49,12.1084,-68.9335,81.01,83,47,21.52
89,Gillette,US,2022-06-06 17:13:33,44.2911,-105.5022,64.02,65,100,5.75
90,Port Hardy,CA,2022-06-06 17:12:47,50.6996,-127.4199,51.82,84,100,9.6
91,East London,ZA,2022-06-06 17:12:26,-33.0153,27.9116,66.69,50,3,5.35
