City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Norman Wells,CA,65.282,-126.8329,50.04,81,100,3.44,overcast clouds
80,Vaini,TO,-21.2,-175.2,71.76,78,20,5.75,few clouds
81,Cherskiy,RU,68.75,161.3,40.8,60,28,7.96,scattered clouds
82,Los Lunas,US,34.8062,-106.7334,70.99,34,27,1.43,scattered clouds
83,Victoria,HK,22.2855,114.1577,78.85,93,100,7.0,moderate rain
84,Provideniya,RU,64.3833,-173.3,43.41,70,61,2.71,broken clouds
85,Murray Bridge,AU,-35.1167,139.2667,49.12,72,100,9.19,overcast clouds
86,Ushuaia,AR,-54.8,-68.3,44.26,53,75,12.66,broken clouds
87,Kenitra,MA,34.261,-6.5802,77.76,54,1,11.36,clear sky
88,Nanortalik,GL,60.1432,-45.2371,40.77,83,97,7.38,overcast clouds
89,Rossland,CA,49.0831,-117.8022,41.92,81,68,3.15,broken clouds
90,Tuktoyaktuk,CA,69.4541,-133.0374,30.22,85,19,8.9,few clouds
91,Hays,US,30.0502,-98.0336,76.64,80,69,5.99,broken clouds
92,Puerto Ayacucho,VE,5.6639,-67.6236,76.57,83,18,0.96,few clouds
93,Port-Gentil,GA,-0.7193,8.7815,82.36,74,20,10.36,few clouds
94,Upernavik,GL,72.7868,-56.1549,31.17,74,22,4.43,few clouds
95,Nalut,LY,30.3333,10.85,101.39,10,0,3.33,clear sky
96,Liku,ID,-0.7275,119.8922,76.17,93,100,1.19,overcast clouds
97,Quelimane,MZ,-17.8786,36.8883,76.95,65,75,14.97,broken clouds
98,Haines Junction,CA,60.7522,-137.5108,40.95,93,100,4.61,overcast clouds
99,Chingirlau,KZ,51.095,54.0814,68.58,53,59,21.7,broken clouds
100,Ancud,CL,-41.8697,-73.8203,49.03,93,100,8.72,light rain
101,Klyuchi,RU,52.2667,79.1667,73.69,32,95,5.99,overcast clouds
102,Atar,MR,20.5169,-13.0499,104.05,12,83,28.77,broken clouds
103,Frontera,MX,26.9333,-101.45,82.33,57,0,1.99,clear sky
104,Torbay,CA,47.6666,-52.7314,45.28,89,100,18.01,overcast clouds
105,Belyy Yar,RU,53.6039,91.3903,62.49,36,0,8.95,clear sky
106,Severo-Kurilsk,RU,50.6789,156.125,44.65,84,100,4.59,overcast clouds
107,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,79,90,11.68,overcast clouds
108,New Norfolk,AU,-42.7826,147.0587,40.71,86,100,4.0,light rain
109,Batticaloa,LK,7.7102,81.6924,85.08,67,100,1.25,overcast clouds
110,Mar Del Plata,AR,-38.0023,-57.5575,48.09,93,0,6.91,clear sky
111,Mancio Lima,BR,-7.6142,-72.8958,71.67,100,100,0.0,fog
112,Glendive,US,47.1053,-104.7125,53.22,98,100,3.44,overcast clouds
113,Lasa,IT,46.6166,10.7002,59.88,89,100,5.39,overcast clouds
114,Thompson,CA,55.7435,-97.8558,46.56,66,20,4.61,few clouds
115,Laguna,US,38.421,-121.4238,64.18,82,0,4.61,clear sky
116,Manaure,CO,11.7751,-72.4445,83.95,69,12,16.93,few clouds
117,Bandarbeyla,SO,9.4942,50.8122,93.0,42,100,25.68,overcast clouds
118,Cidreira,BR,-30.1811,-50.2056,63.32,87,100,5.41,overcast clouds
119,Flagstaff,US,35.1981,-111.6513,60.46,45,0,3.0,clear sky
120,Adre,TD,13.4667,22.2,102.42,7,4,10.74,clear sky
121,Pinega,RU,64.7001,43.3936,63.36,40,76,5.95,broken clouds
122,Dikson,RU,73.5069,80.5464,31.78,88,10,5.1,clear sky
123,Turukhansk,RU,65.8167,87.9833,50.94,32,2,4.79,clear sky
124,Ilhabela,BR,-23.7781,-45.3581,75.16,63,100,3.0,overcast clouds
125,Porbandar,IN,21.6422,69.6093,86.58,75,0,15.14,clear sky
126,Meulaboh,ID,4.1363,96.1285,79.92,72,100,1.72,overcast clouds
127,Lompoc,US,34.6391,-120.4579,54.01,95,100,4.61,overcast clouds
128,Dunedin,NZ,-45.8742,170.5036,50.81,61,88,6.85,overcast clouds
129,Poum,NC,-20.2333,164.0167,76.06,74,99,12.64,overcast clouds
130,Butaritari,KI,3.0707,172.7902,81.59,79,70,15.43,light rain
131,Ust-Omchug,RU,61.15,149.6333,44.85,73,95,4.5,overcast clouds
132,Kalmunai,LK,7.4167,81.8167,84.65,68,100,3.02,overcast clouds
133,Biak,ID,-0.9131,122.8766,76.87,85,93,5.06,overcast clouds
134,Lac-Megantic,CA,45.5834,-70.8823,64.56,70,100,5.75,overcast clouds
135,Palauig,PH,15.435,119.9045,83.14,78,100,3.09,overcast clouds
136,Longyearbyen,SJ,78.2186,15.6401,44.44,65,75,19.57,broken clouds
137,Whitehorse,CA,60.7161,-135.0538,49.01,89,20,13.8,few clouds
138,Singkang,MY,2.1006,102.7994,78.3,82,100,1.21,overcast clouds
139,Avera,US,33.194,-82.5271,74.55,76,90,4.65,overcast clouds
140,Mehamn,NO,71.0357,27.8492,51.71,66,40,6.91,scattered clouds
141,Santa Maria,BR,-29.6842,-53.8069,58.3,100,100,6.91,light intensity drizzle
142,Castelu,RO,44.25,28.3333,74.44,60,75,12.66,broken clouds
143,Coihaique,CL,-45.5752,-72.0662,38.01,93,40,3.44,scattered clouds
144,Margate,GB,51.3813,1.3862,65.88,76,62,9.35,broken clouds
145,Cascavelle,MU,-20.2869,57.4072,74.91,74,93,10.27,overcast clouds
146,Hammerfest,NO,70.6634,23.6821,46.85,61,75,12.66,light rain
147,La Ronge,CA,55.1001,-105.2842,53.82,82,75,2.3,broken clouds
