City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
355,Rincon,US,80.85,few clouds,32.296,-81.2354,Days Inn Rincon
361,Ouesso,CG,89.92,broken clouds,1.6136,16.0517,ABENIE Hotel
362,Kavaratti,IN,82.54,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
364,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
376,Shakhtinsk,KZ,82.45,clear sky,49.71,72.5872,Orifleym
388,Kochi,IN,82.38,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
389,Saldanha,ZA,86.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
391,Kavieng,PG,81.36,light rain,-2.5744,150.7967,Nusa Island Retreat
397,Hobyo,SO,82.47,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
409,Mahon,ES,81.16,clear sky,39.8885,4.2658,ARTIEM Capri
415,Brownsville,US,80.55,clear sky,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
416,Kahta,TR,89.04,scattered clouds,37.7855,38.6237,KommageneİZ Hotel
417,Samarai,PG,82.15,overcast clouds,-10.6167,150.6667,Nuli Sapi
418,Ternate,ID,80.74,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
421,Fez,MA,88.05,clear sky,34.0372,-4.9998,Hotel Mounia Fès
427,Jamkhed,IN,97.43,scattered clouds,18.7362,75.3121,Ugale's Residence
440,Idil,TR,93.13,clear sky,37.3411,41.8895,İdil Öğretmen Evi Ve Aso Müdürlüğü
445,Zhanakorgan,KZ,98.02,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
448,Miandrivazo,MG,86.63,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
458,Maraba,BR,82.58,broken clouds,-5.3686,-49.1178,Hotel Del Principe
460,Rafai,CF,90.59,overcast clouds,4.95,23.9167,
462,Shahreza,IR,90.39,overcast clouds,32.0339,51.8794,خوابگاه
465,Cayenne,GF,83.08,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
466,Harper,LR,82.11,overcast clouds,4.375,-7.7169,Screensaver
468,Ormara,PK,82.72,clear sky,25.2088,64.6357,Kenara Colony house for Rent
470,Malanville,BJ,97.18,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
471,Changji,CN,83.19,clear sky,44.0167,87.3167,Lvye Holiday Resort
475,Hambantota,LK,86.34,few clouds,6.1241,81.1185,Bungalow 63
483,Colares,PT,80.26,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
484,Praia,CV,82.94,few clouds,14.9215,-23.5087,LT Aparthotel
485,Gat,IL,88.39,clear sky,31.61,34.7642,OlusHome
488,Tokonou,GN,86.83,overcast clouds,9.65,-9.7833,
494,Catuday,PH,81.27,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
495,Tchaourou,BJ,94.78,scattered clouds,8.8865,2.5975,SAFIR HOTEL
500,Cotonou,BJ,87.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
507,Princeton,US,80.02,overcast clouds,25.5384,-80.4089,American Best Inn
519,Bukama,CD,89.11,broken clouds,-9.2,25.85,
539,Nador,MA,91.47,clear sky,35.174,-2.9287,Hôtel La Giralda
542,Portoferraio,IT,82.92,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
544,Keti Bandar,PK,84.94,clear sky,24.1447,67.4497,Haji laloo memon house
550,Jaciara,BR,84.47,clear sky,-15.9653,-54.9683,Taba Hotel
552,Puerto Plata,DO,81.45,few clouds,19.7934,-70.6884,Be Live Collection Marien
553,Misratah,LY,84.88,clear sky,32.3754,15.0925,Almasa Hotel
554,Pandan,PH,81.84,scattered clouds,14.0453,124.1694,Bonifacio Lodge
556,Kismayo,SO,81.09,light rain,-0.3582,42.5454,Agan-Hotel
559,Oistins,BB,84.29,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
561,Beyneu,KZ,83.28,overcast clouds,45.3167,55.2,NUR
571,Zuwarah,LY,89.87,broken clouds,32.9312,12.082,تيدارت انغ
576,Hilton Head Island,US,81.99,scattered clouds,32.2163,-80.7526,Disney’s Hilton Head Island Resort
592,Elesbao Veloso,BR,84.11,clear sky,-6.2019,-42.1403,Pousada Paraiso
593,Maumere,ID,80.13,clear sky,-8.6199,122.2111,Sylvia Hotel
598,Wajir,KE,88.43,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
604,Bandraboua,YT,83.88,clear sky,-12.7044,45.1223,HASSANI Mikidachi
615,Almeirim,BR,81.86,scattered clouds,-1.5233,-52.5817,Ricácio Hotel
616,Kosonsoy,UZ,90.16,clear sky,41.2561,71.5508,"Гостиница ""Goldstar'"
618,Mantua,IT,81.21,overcast clouds,45.1667,10.7833,Hotel la Favorita
620,Yenagoa,NG,82.99,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
625,Kudahuvadhoo,MV,82.71,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
626,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
631,Ouargaye,BF,88.47,broken clouds,11.5033,0.0572,Résidence le Cotonnier
632,Matay,EG,98.1,clear sky,28.419,30.7792,Nag Aespen
636,Eydhafushi,MV,82.81,overcast clouds,5.1033,73.0708,Soneva Fushi
637,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
641,Takoradi,GH,83.97,few clouds,4.8845,-1.7554,Raybow International Hotel
646,Salamiyah,SY,87.33,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
648,Quisqueya,DO,82.15,broken clouds,18.5554,-69.4081,Pensión doña rosa
650,Cururupu,BR,81.68,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
